facility_id,project_family,project_name,project_division,project_unit,project_subunit,project_path,membership_role,assignment_confidence,evidence_rule_id,evidence_url,project_key,project_id
CVY_27E04401,Unknown/unassigned,Unassigned,,,,,facility,unassigned,UNASSIGNED_FALLBACK,,Unknown/unassigned|Unassigned|||,PRJ_070B8008
CVY_27E36C82,Other Reclamation,Reclamation project (unit unassigned),,,,,facility,needs_project_crosswalk,RECLAMATION_UNASSIGNED_FALLBACK,,Other Reclamation|Reclamation project (unit unassigned)|||,PRJ_03E91FED
CVY_2821EE69,Unknown/unassigned,Unassigned,,,,,facility,unassigned,UNASSIGNED_FALLBACK,,Unknown/unassigned|Unassigned|||,PRJ_070B8008
CVY_289F8CAA,Local/regional public,Lakeside Irrigation Water District,,,,,facility,provisional,LOCAL_FALLBACK,,Local/regional public|Lakeside Irrigation Water District|||,PRJ_31610497
CVY_28DB252B,Unknown/unassigned,Unassigned,,,,,facility,unassigned,UNASSIGNED_FALLBACK,,Unknown/unassigned|Unassigned|||,PRJ_070B8008
CVY_290398B3,Unknown/unassigned,Unassigned,,,,,facility,unassigned,UNASSIGNED_FALLBACK,,Unknown/unassigned|Unassigned|||,PRJ_070B8008
CVY_29BB115F,Other Reclamation,Boulder Canyon Project,,All-American Canal system,,All-American Canal system,facility,authoritative_crosswalk,BOR_BOULDER,https://www.usbr.gov/lc/region/programs/bcp.html,Other Reclamation|Boulder Canyon Project||All-American Canal system|,PRJ_05ED4047
CVY_29F38927,Unknown/unassigned,Unassigned,,,,,facility,unassigned,UNASSIGNED_FALLBACK,,Unknown/unassigned|Unassigned|||,PRJ_070B8008
CVY_29FAB178,Unknown/unassigned,Unassigned,,,,,facility,unassigned,UNASSIGNED_FALLBACK,,Unknown/unassigned|Unassigned|||,PRJ_070B8008
CVY_2A628349,CVP,Central Valley Project,West San Joaquin Division,San Luis Unit,,West San Joaquin Division > San Luis Unit,facility,authoritative_crosswalk,CVP_SAN_LUIS_PLEASANT,https://www.usbr.gov/projects/index.php?id=427,CVP|Central Valley Project|West San Joaquin Division|San Luis Unit|,PRJ_41BBA244
