acec_id,component_id,related_layer_family,related_feature_id,related_feature_name,relationship_type,relationship_scope,relationship_method,relationship_source,relationship_source_url,spatial_derivation_required,intersection_area_acres,intersection_percent_of_component,intersection_percent_of_acec,relationship_last_verified,confidence,relationship_context_class,notes
acec-cb322417fa5793,blmca-3c4d10bf-5b35-492d-8807-6586e86334d9,governing_plan,DOI-BLM-CA-N050-2008-0002-RMP-EIS,Eagle Lake,planning_relationship,source record,source_attribute,BLM CA ACEC FeatureServer,https://eplanning.blm.gov/eplanning-ui/project/69341/510,false,,,,2026-08-05,high_source_association,documented_management_relationship,Plan currency/supersession researched at framework level; detailed component history remains partial.
acec-3f8988d80d2645,blmca-c09b71e8-678f-4f6f-a66c-7be2ec54fbab,blm_administrative_unit,CAN06000,Redding Field Office,administrative_relationship,source record,source_attribute,BLM CA ACEC FeatureServer,https://gis.blm.gov/caarcgis/rest/services/Planning/BLM_CA_ACEC/FeatureServer/0,false,,,,2026-08-05,high,documented_management_relationship,
acec-3f8988d80d2645,blmca-c09b71e8-678f-4f6f-a66c-7be2ec54fbab,governing_plan,DOI-BLM-CA-N060-2021-0012-RMP-EIS,Northwest California Integrated Plan,planning_relationship,source record,source_attribute,BLM CA ACEC FeatureServer,https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california/northwest-california-integrated-rmp,false,,,,2026-08-05,high_source_association,documented_management_relationship,Plan currency/supersession researched at framework level; detailed component history remains partial.
acec-db1c025620ee95,blmca-897c4957-1102-4eff-a935-0266cc5bee6f,blm_administrative_unit,CAC07000,Bishop Field Office,administrative_relationship,source record,source_attribute,BLM CA ACEC FeatureServer,https://gis.blm.gov/caarcgis/rest/services/Planning/BLM_CA_ACEC/FeatureServer/0,false,,,,2026-08-05,high,documented_management_relationship,
acec-db1c025620ee95,blmca-897c4957-1102-4eff-a935-0266cc5bee6f,governing_plan,DOI-BLM-CA-D010-2014-0001-RMP-EIS,"Bishop RMP, as amended by DRECP",planning_relationship,source record,source_attribute,BLM CA ACEC FeatureServer,https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california/desert-renewable-energy-conservation-plan,false,,,,2026-08-05,high_source_association,documented_management_relationship,Plan currency/supersession researched at framework level; detailed component history remains partial.
acec-8b7205a710bcf7,blmca-e7f84169-2cb4-4e4e-bcc1-b2f696407519,blm_administrative_unit,CAD07000,El Centro Field Office,administrative_relationship,source record,source_attribute,BLM CA ACEC FeatureServer,https://gis.blm.gov/caarcgis/rest/services/Planning/BLM_CA_ACEC/FeatureServer/0,false,,,,2026-08-05,high,documented_management_relationship,
acec-8b7205a710bcf7,blmca-e7f84169-2cb4-4e4e-bcc1-b2f696407519,governing_plan,doc-844b8544259d,Eastern San Diego County MFP,planning_relationship,source record,source_attribute,BLM CA ACEC FeatureServer,https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california,false,,,,2026-08-05,high_source_association,documented_management_relationship,Plan currency/supersession researched at framework level; detailed component history remains partial.
acec-bb8e39bb718d14,blmca-065830c1-b704-4771-91a2-f9c3524896b4,blm_administrative_unit,CAC06000,Bakersfield Field Office,administrative_relationship,source record,source_attribute,BLM CA ACEC FeatureServer,https://gis.blm.gov/caarcgis/rest/services/Planning/BLM_CA_ACEC/FeatureServer/0,false,,,,2026-08-05,high,documented_management_relationship,
acec-bb8e39bb718d14,blmca-065830c1-b704-4771-91a2-f9c3524896b4,governing_plan,DOI-BLM-CA-C060-2014-0001-RMP-EIS,Bakersfield Resource Management Plan,planning_relationship,source record,source_attribute,BLM CA ACEC FeatureServer,https://eplanning.blm.gov/Project-Home/?id=77b9ea95-a7f2-f011-8406-001dd802fdea,false,,,,2026-08-05,high_source_association,documented_management_relationship,Plan currency/supersession researched at framework level; detailed component history remains partial.
acec-ed38a295261e2f,blmca-3cdad385-0fb8-4a58-8cc9-e5da284070e2,blm_administrative_unit,CAN02000,Applegate Field Office,administrative_relationship,source record,source_attribute,BLM CA ACEC FeatureServer,https://gis.blm.gov/caarcgis/rest/services/Planning/BLM_CA_ACEC/FeatureServer/0,false,,,,2026-08-05,high,documented_management_relationship,
acec-ed38a295261e2f,blmca-3cdad385-0fb8-4a58-8cc9-e5da284070e2,governing_plan,DOI-BLM-CA-N020-2008-0001-RMP-EIS,Alturas,planning_relationship,source record,source_attribute,BLM CA ACEC FeatureServer,https://eplanning.blm.gov/Project-Home/?id=e567a393-a7f2-f011-8407-001dd80c29f3,false,,,,2026-08-05,high_source_association,documented_management_relationship,Plan currency/supersession researched at framework level; detailed component history remains partial.
