"acec_id","component_id","current_field_office_key","current_field_office_code","current_field_office_name","intersection_area_m2","intersection_area_acres","percent_of_acec_area","acec_context_class","source_context_qa_class","relationship_method","minimum_intersection_area_m2","complete_coverage_percent","boundary_snapshot_date","derivation_date","confidence"
"acec-c97ed0cdfcbdae","blmca-30483d73-69d8-45ca-864c-12f34fd77a79","ridgecrest_field_office","CAD05000","Ridgecrest Field Office",6727120.833282,1662.307759684,100,"wholly_within_one_field_office","district_only_contextualized","positive-area intersection in EPSG:3310",100,99.5,"2025-06-23","2026-08-08","high_for_spatial_context_only"
"acec-0acef5ecce6ce0","blmca-14f78739-1ebb-4ad2-89ea-cc226ccf0e8e","barstow_field_office","CAD08000","Barstow Field Office",1057525371.12638,261320.210243391,63.76357343,"crosses_field_office_boundaries","district_only_contextualized","positive-area intersection in EPSG:3310",100,99.5,"2025-06-23","2026-08-08","high_for_spatial_context_only"
"acec-0acef5ecce6ce0","blmca-14f78739-1ebb-4ad2-89ea-cc226ccf0e8e","ridgecrest_field_office","CAD05000","Ridgecrest Field Office",600984831.943282,148506.586153325,36.23642657,"crosses_field_office_boundaries","district_only_contextualized","positive-area intersection in EPSG:3310",100,99.5,"2025-06-23","2026-08-08","high_for_spatial_context_only"
"acec-ecc59f84dbe438","blmca-f7cf88f7-b06d-4026-b9fe-ec943d3b5fdc","arcata_field_office","CAN03000","Arcata Field Office",37794811.368539,9339.301280702,100,"wholly_within_one_field_office","exact_single","positive-area intersection in EPSG:3310",100,99.5,"2025-06-23","2026-08-08","high_for_spatial_context_only"
"acec-3c49275da2ff7c","blmca-1131e79c-3a03-4bb4-a07d-17771a697564","barstow_field_office","CAD08000","Barstow Field Office",243519535.963886,60174.987829063,99.99997809,"wholly_within_one_field_office","district_only_contextualized","positive-area intersection in EPSG:3310",100,99.5,"2025-06-23","2026-08-08","high_for_spatial_context_only"
"acec-6af14f22098d02","blmca-9707bdba-2883-4030-a857-5471f42c9e8f","redding_field_office","CAN06000","Redding Field Office",79218885.552801,19575.412933928,100,"wholly_within_one_field_office","exact_single","positive-area intersection in EPSG:3310",100,99.5,"2025-06-23","2026-08-08","high_for_spatial_context_only"
"acec-f85e7284dc76d3","blmca-da88d76a-ef5a-40ca-98bf-0f8873381a6c","ridgecrest_field_office","CAD05000","Ridgecrest Field Office",44894625.730317,11093.703616916,100,"wholly_within_one_field_office","district_only_contextualized","positive-area intersection in EPSG:3310",100,99.5,"2025-06-23","2026-08-08","high_for_spatial_context_only"
"acec-928e4d8fcf9b05","blmca-f41ca86f-3388-4fe4-ad6c-39843696b57a","needles_field_office","CAD09000","Needles Field Office",7058907.664247,1744.294071115,100,"wholly_within_one_field_office","district_only_contextualized","positive-area intersection in EPSG:3310",100,99.5,"2025-06-23","2026-08-08","high_for_spatial_context_only"
"acec-45c758783b978f","blmca-803a9a91-4d09-4e87-ac25-31dfc77b2240","barstow_field_office","CAD08000","Barstow Field Office",1962793.573751,485.016854783,100,"wholly_within_one_field_office","district_only_contextualized","positive-area intersection in EPSG:3310",100,99.5,"2025-06-23","2026-08-08","high_for_spatial_context_only"
"acec-e2b2eb0370dc09","blmca-85cbd7dc-1d47-4e03-8a12-df04d7626e81","redding_field_office","CAN06000","Redding Field Office",153759.109375,37.994703376,100,"wholly_within_one_field_office","exact_single","positive-area intersection in EPSG:3310",100,99.5,"2025-06-23","2026-08-08","high_for_spatial_context_only"
"acec-5102ee29c1279f","blmca-9b8c88c3-304b-45d8-bf33-32a4ab8312e6","bakersfield_field_office","CAC06000","Bakersfield Field Office",18284190.676314,4518.121911889,100,"wholly_within_one_field_office","exact_single","positive-area intersection in EPSG:3310",100,99.5,"2025-06-23","2026-08-08","high_for_spatial_context_only"
"acec-0af8c68f714a17","blmca-b2f67dd8-a705-4818-b143-16ed43e721ca","ridgecrest_field_office","CAD05000","Ridgecrest Field Office",5694.469281,1.407134004,0.02041594,"crosses_field_office_boundaries","source_in_multiple","positive-area intersection in EPSG:3310",100,99.5,"2025-06-23","2026-08-08","high_for_spatial_context_only"
"acec-0af8c68f714a17","blmca-b2f67dd8-a705-4818-b143-16ed43e721ca","bakersfield_field_office","CAC06000","Bakersfield Field Office",27886572.747173,6890.922196502,99.97958406,"crosses_field_office_boundaries","source_in_multiple","positive-area intersection in EPSG:3310",100,99.5,"2025-06-23","2026-08-08","high_for_spatial_context_only"
"acec-509418a6c2d75d","blmca-d3409845-861a-48cf-ad11-2afe3e01460b","arcata_field_office","CAN03000","Arcata Field Office",4498525.11046,1111.60976346,100,"wholly_within_one_field_office","exact_single","positive-area intersection in EPSG:3310",100,99.5,"2025-06-23","2026-08-08","high_for_spatial_context_only"
"acec-091e00f0dd8853","blmca-c5556740-c87b-40f6-810b-cadecd922066","el_centro_field_office","CAD07000","El Centro Field Office",39513494.43211,9763.997114747,100,"wholly_within_one_field_office","exact_single","positive-area intersection in EPSG:3310",100,99.5,"2025-06-23","2026-08-08","high_for_spatial_context_only"
"acec-903e84da97e457","blmca-9f83fa7e-9185-4af7-b93a-33bec42ab4d9","bishop_field_office","CAC07000","Bishop Field Office",26225486.861168,6480.458934991,100,"wholly_within_one_field_office","exact_single","positive-area intersection in EPSG:3310",100,99.5,"2025-06-23","2026-08-08","high_for_spatial_context_only"
"acec-3204989a2e2142","blmca-4c2735ff-3769-4559-94b3-b7d9fd54d7d9","el_centro_field_office","CAD07000","El Centro Field Office",7634616.555306,1886.554836254,100,"wholly_within_one_field_office","district_only_contextualized","positive-area intersection in EPSG:3310",100,99.5,"2025-06-23","2026-08-08","high_for_spatial_context_only"
"acec-2c13bde9fcc4fa","blmca-c093f3ea-d41d-466a-b2d4-e216c126cf71","ukiah_field_office","CAC05000","Ukiah Field Office",408107.67679,100.845603153,100,"wholly_within_one_field_office","exact_single","positive-area intersection in EPSG:3310",100,99.5,"2025-06-23","2026-08-08","high_for_spatial_context_only"
"acec-bbeaa1285514c3","blmca-cf04601d-5b9f-41d0-8f2a-7893130f78cf","mother_lode_field_office","CAC08000","Mother Lode Field Office",1107097.88558,273.569845338,100,"wholly_within_one_field_office","exact_single","positive-area intersection in EPSG:3310",100,99.5,"2025-06-23","2026-08-08","high_for_spatial_context_only"
"acec-542efdb5fef0f5","blmca-d621b831-3971-4dfd-9baf-4ff04a2d6202","mother_lode_field_office","CAC08000","Mother Lode Field Office",373348.031629,92.256307776,100,"wholly_within_one_field_office","exact_single","positive-area intersection in EPSG:3310",100,99.5,"2025-06-23","2026-08-08","high_for_spatial_context_only"
"acec-e57347bdd98060","blmca-2114ecd1-1cc2-4db9-a493-020c731ebfd7","needles_field_office","CAD09000","Needles Field Office",349752666.167802,86425.765992553,99.99817861,"wholly_within_one_field_office","district_only_contextualized","positive-area intersection in EPSG:3310",100,99.5,"2025-06-23","2026-08-08","high_for_spatial_context_only"
"acec-b2e5dc6ec9bda5","blmca-a1d06ddc-299a-4e58-9604-6c1c21f26f92","ridgecrest_field_office","CAD05000","Ridgecrest Field Office",770928866.88957,190500.671736797,99.99331121,"crosses_field_office_boundaries","district_only_contextualized","positive-area intersection in EPSG:3310",100,99.5,"2025-06-23","2026-08-08","high_for_spatial_context_only"
"acec-b2e5dc6ec9bda5","blmca-a1d06ddc-299a-4e58-9604-6c1c21f26f92","bakersfield_field_office","CAC06000","Bakersfield Field Office",51569.295841,12.743050521,0.00668879,"crosses_field_office_boundaries","district_only_contextualized","positive-area intersection in EPSG:3310",100,99.5,"2025-06-23","2026-08-08","high_for_spatial_context_only"
"acec-13aefba9833e50","blmca-41ef1587-8d9f-4cdf-a829-5d418ab58e37","central_coast_field_office","CAC09000","Central Coast Field Office",29553064.086693,7302.721174666,100,"wholly_within_one_field_office","exact_single","positive-area intersection in EPSG:3310",100,99.5,"2025-06-23","2026-08-08","high_for_spatial_context_only"
"acec-f597a32b0f2e2f","blmca-5365af8f-10c1-4178-a5ae-c41938cd5a6d","palm_springs_south_coast_field_office","CAD06000","Palm Springs-South Coast Field Office",16126822.245609,3985.024562854,100,"wholly_within_one_field_office","exact_single","positive-area intersection in EPSG:3310",100,99.5,"2025-06-23","2026-08-08","high_for_spatial_context_only"
"acec-ebea38b48ec039","blmca-2f4ac674-ff81-4b3c-acdb-795d34b3669c","barstow_field_office","CAD08000","Barstow Field Office",9660651.930302,2387.199080459,100,"wholly_within_one_field_office","district_only_contextualized","positive-area intersection in EPSG:3310",100,99.5,"2025-06-23","2026-08-08","high_for_spatial_context_only"
"acec-7f8e02e30d8ba1","blmca-dc6ffdd3-85be-493c-809b-411388537747","bakersfield_field_office","CAC06000","Bakersfield Field Office",135953115.460113,33594.746457421,100,"wholly_within_one_field_office","exact_single","positive-area intersection in EPSG:3310",100,99.5,"2025-06-23","2026-08-08","high_for_spatial_context_only"
"acec-7c3af1e43a9f14","blmca-a36b669b-af96-4846-a98f-3eac8584ac77","bakersfield_field_office","CAC06000","Bakersfield Field Office",116597323.453509,28811.82609003,99.99475878,"crosses_field_office_boundaries","source_in_multiple","positive-area intersection in EPSG:3310",100,99.5,"2025-06-23","2026-08-08","high_for_spatial_context_only"
"acec-7c3af1e43a9f14","blmca-a36b669b-af96-4846-a98f-3eac8584ac77","central_coast_field_office","CAC09000","Central Coast Field Office",6111.445951,1.510171183,0.00524122,"crosses_field_office_boundaries","source_in_multiple","positive-area intersection in EPSG:3310",100,99.5,"2025-06-23","2026-08-08","high_for_spatial_context_only"
"acec-fe0e17f592b671","blmca-441d1865-e3b7-4df8-ade4-ef1b7289948d","ridgecrest_field_office","CAD05000","Ridgecrest Field Office",285625.370997,70.579566257,3.26218166,"crosses_field_office_boundaries","source_in_multiple","positive-area intersection in EPSG:3310",100,99.5,"2025-06-23","2026-08-08","high_for_spatial_context_only"
"acec-fe0e17f592b671","blmca-441d1865-e3b7-4df8-ade4-ef1b7289948d","bishop_field_office","CAC07000","Bishop Field Office",8470029.621051,2092.989900548,96.73781834,"crosses_field_office_boundaries","source_in_multiple","positive-area intersection in EPSG:3310",100,99.5,"2025-06-23","2026-08-08","high_for_spatial_context_only"
