"layer_id","duplicate_type","key","count"
"usgs_wells","same rounded coordinate","-119.657725,34.899781",4
"usgs_wells","same rounded coordinate","-119.673192,36.656061",4
"usgs_wells","same rounded coordinate","-119.675056,34.416667",4
"usgs_wells","same rounded coordinate","-119.687321,34.41471",4
"usgs_wells","same rounded coordinate","-119.690472,34.4185",4
"usgs_wells","same rounded coordinate","-119.694544,34.419154",4
"usgs_wells","same rounded coordinate","-119.694556,34.419111",4
"usgs_wells","same rounded coordinate","-119.706518,36.218561",4
"usgs_wells","same rounded coordinate","-119.707071,35.781624",4
"usgs_wells","same rounded coordinate","-119.783185,35.777181",4
"usgs_wells","same rounded coordinate","-119.810694,34.427497",4
"usgs_wells","same rounded coordinate","-119.833466,36.248562",4
"usgs_wells","same rounded coordinate","-120.019603,36.855224",4
"usgs_wells","same rounded coordinate","-120.294681,34.755689",4
"usgs_wells","same rounded coordinate","-120.394408,34.759058",4
"usgs_wells","same rounded coordinate","-120.44211,36.625506",4
"usgs_wells","same rounded coordinate","-120.462126,37.083278",4
"usgs_wells","same rounded coordinate","-120.4631,34.777889",4
"usgs_wells","same rounded coordinate","-120.510999,34.643594",4
"usgs_wells","same rounded coordinate","-120.522666,34.662483",4
"usgs_wells","same rounded coordinate","-120.57625,36.822222",4
"usgs_wells","same rounded coordinate","-120.586558,34.68776",4
"usgs_wells","same rounded coordinate","-120.587113,34.686927",4
"usgs_wells","same rounded coordinate","-120.587947,34.686093",4
"usgs_wells","same rounded coordinate","-120.636013,36.86106",4
"usgs_wells","same rounded coordinate","-120.638784,34.989143",4
"usgs_wells","same rounded coordinate","-120.641845,36.788839",4
"usgs_wells","same rounded coordinate","-120.720556,36.872361",4
"usgs_wells","same rounded coordinate","-120.800353,37.397369",4
"usgs_wells","same rounded coordinate","-120.801306,37.392317",4
"usgs_wells","same rounded coordinate","-120.802731,37.387775",4
"usgs_wells","same rounded coordinate","-120.876589,37.220497",4
"usgs_wells","same rounded coordinate","-121.000917,37.686194",4
"usgs_wells","same rounded coordinate","-121.203111,37.968139",4
"usgs_wells","same rounded coordinate","-121.223004,38.578239",4
"usgs_wells","same rounded coordinate","-121.239115,38.58685",4
"usgs_wells","same rounded coordinate","-121.241615,38.593239",4
"usgs_wells","same rounded coordinate","-121.244949,38.587684",4
"usgs_wells","same rounded coordinate","-121.24606,38.59185",4
"usgs_wells","same rounded coordinate","-121.249116,38.587128",4
"usgs_wells","same rounded coordinate","-121.278111,38.035833",4
"usgs_wells","same rounded coordinate","-121.571063,37.969645",4
"usgs_wells","same rounded coordinate","-121.606351,38.916841",4
"usgs_wells","same rounded coordinate","-121.644398,38.107419",4
"usgs_wells","same rounded coordinate","-121.676899,38.095474",4
"usgs_wells","same rounded coordinate","-121.79773,36.883009",4
"usgs_wells","same rounded coordinate","-121.807667,36.699278",4
"usgs_wells","same rounded coordinate","-121.811632,38.779347",4
"usgs_wells","same rounded coordinate","-121.943444,37.31775",4
"usgs_wells","same rounded coordinate","-122.485556,37.716028",4
"usgs_wells","same rounded coordinate","-114.526705,33.611024",3
"usgs_wells","same rounded coordinate","-114.527177,33.662662",3
"usgs_wells","same rounded coordinate","-114.527982,33.611108",3
"usgs_wells","same rounded coordinate","-114.528372,33.662357",3
"usgs_wells","same rounded coordinate","-114.534788,33.560915",3
"usgs_wells","same rounded coordinate","-114.535926,33.560498",3
"usgs_wells","same rounded coordinate","-114.536094,33.60258",3
"usgs_wells","same rounded coordinate","-114.537732,33.545887",3
"usgs_wells","same rounded coordinate","-114.54251,33.575081",3
"usgs_wells","same rounded coordinate","-114.543705,33.589553",3
"usgs_wells","same rounded coordinate","-114.545038,33.589553",3
"usgs_wells","same rounded coordinate","-114.547478,32.774518",3
"usgs_wells","same rounded coordinate","-114.583844,33.505805",3
"usgs_wells","same rounded coordinate","-114.583844,33.506888",3
"usgs_wells","same rounded coordinate","-114.595455,33.495389",3
"usgs_wells","same rounded coordinate","-114.596122,33.496305",3
"usgs_wells","same rounded coordinate","-114.624289,33.448557",3
"usgs_wells","same rounded coordinate","-114.625595,33.448584",3
"usgs_wells","same rounded coordinate","-114.627956,33.433751",3
"usgs_wells","same rounded coordinate","-114.636678,33.422363",3
"usgs_wells","same rounded coordinate","-114.644514,33.624552",3
"usgs_wells","same rounded coordinate","-114.650244,34.981946",3
"usgs_wells","same rounded coordinate","-114.652957,33.413641",3
"usgs_wells","same rounded coordinate","-114.653179,33.415335",3
"usgs_wells","same rounded coordinate","-114.667815,32.738936",3
"usgs_wells","same rounded coordinate","-114.676371,32.763602",3
"usgs_wells","same rounded coordinate","-114.731348,33.470584",3
"usgs_wells","same rounded coordinate","-114.73607,33.485861",3
"usgs_wells","same rounded coordinate","-114.736072,33.493102",3
"usgs_wells","same rounded coordinate","-114.73635,33.489213",3
"usgs_wells","same rounded coordinate","-114.739961,33.492546",3
"usgs_wells","same rounded coordinate","-114.740237,33.478083",3
"usgs_wells","same rounded coordinate","-114.740237,33.485305",3
"usgs_wells","same rounded coordinate","-114.741348,33.491972",3
"usgs_wells","same rounded coordinate","-114.74246,33.489472",3
"usgs_wells","same rounded coordinate","-114.743571,33.485861",3
"usgs_wells","same rounded coordinate","-114.743848,33.474472",3
"usgs_wells","same rounded coordinate","-114.743848,33.478083",3
"usgs_wells","same rounded coordinate","-114.837681,32.776663",3
"usgs_wells","same rounded coordinate","-114.855478,33.591036",3
"usgs_wells","same rounded coordinate","-114.88433,32.739731",3
"usgs_wells","same rounded coordinate","-115.066365,34.91722",3
